"PT: Action Figure","actiefiguur"
"PT: Air Refresher","Luchtverfrisser"
"PT: Backpack","Rugtassen"
"PT: Backpatch","backpatch"
"PT: Bag","Tas"
"PT: Bandana","bandana"
"PT: Beanie","Muts"
"PT: Bearings","bearings"
"PT: Bed","bed"
"PT: Beer Glass","bierglas"
"PT: Beer Mug","bierpul"
"PT: Belt Buckle","Gesp"
"PT: Belt","Riem"
"PT: Bikini Bottom","Bikinibroekjes"
"PT: Bikini","Bikinis"
"PT: Blanket","deken"
"PT: Blue Ray","Blu-Ray"
"PT: Board Game","Bordspel"
"PT: Board Shorts","Zwemshorts"
"PT: Bolts","schroeven"
"PT: Book","Boek"
"PT: Bottle Holder","Flessenhouder"
"PT: Bottle Opener","flessenopener"
"PT: Bottle","fles"
"PT: Boxershorts","boxershorts"
"PT: Bracelet Set","Armbandenset"
"PT: Bracelet","Armbanden"
"PT: Breakfast Set","Ontbijtset"
"PT: Button","button"
"PT: Calendar","Kalender"
"PT: Card Game","Kaartspel"
"PT: Cargo Pants","Cargo Broek"
"PT: Chair","stoel"
"PT: Chino","Chinos"
"PT: Coaster Pack","onderzetterset"
"PT: Coaster","onderzetter"
"PT: Coat","Overjas"
"PT: College Jacket","College Jack"
"PT: Cup Set","bekerset"
"PT: Cup","beker"
"PT: Cushion Cover","Kussensloop"
"PT: Cycling Shorts","Fietsbroekje"
"PT: Doormat","deurmat"
"PT: Dress","Jurke"
"PT: Dungarees","Overalls"
"PT: Earmuff","Oorwarmers"
"PT: Earplug","Plug"
"PT: Earrings","Oorbel"
"PT: Egg Cup & Toast Cutter","Eierdop en toastsnijder"
"PT: Egg Cup","eierdop"
"PT: Expander","Stretcher"
"PT: Figure","figurine"
"PT: Flag","Vlag"
"PT: Flask","flask"
"PT: Flesh Tunnel","Tunnel"
"PT: Foam Hand","Schuimhand"
"PT: Fridge Magnet","Koelkastmagneet"
"PT: Gift Pack","Geschenkverpakking"
"PT: Girl Beanie","Dames Muts"
"PT: Girl Belt","Damesriem"
"PT: Girl College Jacket","Dames College Jack"
"PT: Girl Hooded College Jacket","Dames College Jack met capuchon"
"PT: Girl Hoodie","Dames Hoodie"
"PT: Girl Jacket","Dames Jas"
"PT: Girl Jeans Jacket","Dames Spijkerjas"
"PT: Girl Jeans","Dames Jeans"
"PT: Girl Leather Jacket","Dames Lerenjas"
"PT: Girl Longsleeve","Dames Longsleeve"
"PT: Girl Pants","Dames Broeken"
"PT: Girl Pullover","Dames Pullover"
"PT: Girl Sandals","Dames sandalen"
"PT: Girl Shirt","Blouse"
"PT: Girl Shoes","Damesschoenen"
"PT: Girl Shorts","Dames Shorts"
"PT: Girl Sweater","Dames Sweater"
"PT: Girl Tank","Dames Tanktop"
"PT: Girl Track Jacket","Dames Trainingjack"
"PT: Girl V Neck Longsleeve","Dames V-Hals Longsleeve"
"PT: Girl V Neck Pullover","Dames V-Hals Pullover"
"PT: Girl V Neck Sweater","Dames V-Hals Sweater"
"PT: Girl Zipper","Dames Vest"
"PT: Glass","glas"
"PT: Gloves","Handschoenen"
"PT: Hair Clip","haarclip"
"PT: Headphones","Hoofdtelefoon"
"PT: Heels","Hakken"
"PT: Hip Bag","Heuptas"
"PT: Hipbag","Heuptas"
"PT: Hooded Cardigan","Cardigan met capuchon"
"PT: Hooded College Jacket","College Jack met capuchon"
"PT: Hooded Girl Shirt","Damesshirt met capuchon"
"PT: Hooded Shirt","Shirt met capuchon"
"PT: Jacket","Jas"
"PT: Jeans Jacket","Spijkerjas"
"PT: Jigsaw Puzzle","Puzzel"
"PT: Jumpsuit","jumpsuit"
"PT: Keychain","Sleutelhanger"
"PT: Laptop Bag","Laptoptass"
"PT: Leather Jacket","Leren Jas"
"PT: Magnet","Magneet"
"PT: Mug","Mok"
"PT: Necklace","Ketting"
"PT: Notebook","notitieboek"
"PT: Pants","Broeken"
"PT: Pencil Case","Pennenbak"
"PT: Piercing","piercing"
"PT: Pillow","Kussen"
"PT: Plectra","plectrums"
"PT: Plectrum Set","plectrumset"
"PT: Plectrum","plectrum"
"PT: Pool Float","Zwemband"
"PT: Ring Stand","Ringenstandaard"
"PT: Sandal","Sandalen"
"PT: Scarf","Sjaal"
"PT: Shirt","Overhemd"
"PT: Shoes","Schoenen"
"PT: Shot Glass","shotglas"
"PT: Skate Deck","Skateboard Deck"
"PT: Skatedeck","Skateboard Deck"
"PT: Skirt","Rokje"
"PT: Slipmat","slipmat"
"PT: Socks","Sokken"
"PT: Soft Toy","Knuffel"
"PT: Stress Controller","antistress"
"PT: Sunglasses","Zonnebrillen"
"PT: Sweat Pants","Joggingsbroeken"
"PT: Swimsuit","Badpakken"
